Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-01-02,26.665546417236328,50.91963577270508,23.18885040283203,27.546480178833008,74.9660873413086,44.241432189941406,52.624794006347656,30.74522590637207,26.098268508911133,91.90080261230469,60.03554153442383
2020-01-03,26.23503303527832,50.591182708740234,23.119951248168945,27.253995895385742,74.82160186767578,43.744014739990234,52.540565490722656,30.970462799072266,26.151437759399414,91.09993743896484,59.52466583251953
2020-01-06,26.120813369750977,51.26686477661133,23.29986000061035,27.236268997192383,74.84870147705078,43.848228454589844,52.650054931640625,30.978511810302734,26.17598533630371,91.66683959960938,59.690223693847656
2020-01-07,26.090065002441406,51.33256149291992,23.23861312866211,27.059005737304688,74.69515991210938,43.82929229736328,52.24576187133789,30.640636444091797,26.139169692993164,91.48685455322266,59.59561538696289
2020-01-08,26.18231201171875,51.698543548583984,22.8558349609375,27.236268997192383,74.94803619384766,44.298274993896484,52.439491271972656,30.793493270874023,26.126901626586914,92.08074188232422,59.77537536621094
2020-01-09,26.278963088989258,51.9706916809082,23.024255752563477,27.4046630859375,75.2641372680664,44.80043029785156,52.810089111328125,30.785451889038086,26.270057678222656,92.47667694091797,60.09232711791992
2020-01-10,26.173534393310547,51.76423263549805,22.894107818603516,27.200815200805664,74.73129272460938,44.696205139160156,52.776397705078125,31.083084106445312,26.339584350585938,92.50366973876953,59.76590347290039
2020-01-13,26.511789321899414,52.25221252441406,22.901771545410156,27.386940002441406,75.34539794921875,45.25520324707031,53.12172317504883,31.461170196533203,26.49909019470215,92.17974853515625,59.955135345458984
2020-01-14,26.401968002319336,52.120845794677734,22.90559196472168,27.333763122558594,75.35444641113281,45.042030334472656,53.13857650756836,31.30831527709961,26.576805114746094,92.73766326904297,59.93621063232422
2020-01-15,26.582077026367188,52.37421798706055,22.737173080444336,27.18309211730957,75.47183227539062,45.09414291381836,53.51759338378906,31.5255184173584,26.948993682861328,93.53851318359375,59.799015045166016
2020-01-16,26.7402286529541,52.777748107910156,22.77545166015625,27.422391891479492,76.22142791748047,45.70051956176758,53.66078186035156,31.807071685791016,27.116676330566406,94.02442932128906,60.333580017089844
2020-01-17,26.858842849731445,53.190670013427734,22.629989624023438,27.502161026000977,76.23045349121094,46.00843811035156,53.75343322753906,31.84729766845703,27.304821014404297,94.02442932128906,60.54644775390625
2020-01-21,26.56890296936035,53.14373779296875,22.224246978759766,27.271717071533203,75.39056396484375,45.98948287963867,53.93872833251953,32.169063568115234,27.55431365966797,94.1233901977539,60.36196517944336
2020-01-22,26.463470458984375,53.1155891418457,22.0098934173584,27.35148811340332,74.99319458007812,46.155296325683594,53.980831146240234,31.91163444519043,27.640201568603516,94.24037170410156,60.333580017089844
2020-01-23,26.432716369628906,52.899742126464844,21.925678253173828,27.280588150024414,75.80597686767578,46.37321472167969,53.930294036865234,32.21732711791992,27.885608673095703,93.76347351074219,60.4234619140625
2020-01-24,26.243818283081055,52.2616081237793,21.673038482666016,26.934926986694336,75.45379638671875,46.155296325683594,53.55971908569336,32.169063568115234,27.95922088623047,92.19774627685547,59.581417083740234
2020-01-27,25.6771240234375,51.44516372680664,21.07207489013672,26.518354415893555,74.02688598632812,45.05623245239258,53.39126205444336,32.03230667114258,27.889690399169922,91.49585723876953,58.69208526611328
2020-01-28,25.967056274414062,52.03639221191406,21.167768478393555,26.828571319580078,74.5055160522461,45.918426513671875,53.4586296081543,32.112754821777344,28.004209518432617,91.94577026367188,59.264469146728516
2020-01-29,26.05052375793457,51.95192337036133,20.945758819580078,26.784252166748047,74.90289306640625,46.03685760498047,53.189109802246094,31.943817138671875,28.077829360961914,91.69383239746094,59.23136520385742
2020-01-30,25.887985229492188,51.426387786865234,21.114187240600586,27.121051788330078,74.98414611816406,46.43478775024414,53.82081985473633,32.01621627807617,28.33959197998047,91.02794647216797,59.132022857666016
2020-01-31,25.3168888092041,50.591182708740234,20.455799102783203,26.55380630493164,73.2502212524414,45.160465240478516,53.21437072753906,31.557687759399414,28.212799072265625,89.21026611328125,59.28341293334961
2020-02-03,25.848447799682617,51.1917839050293,20.187854766845703,26.73993682861328,73.22312927246094,45.757354736328125,53.21437072753906,31.589872360229492,28.302780151367188,90.0201187133789,59.70442199707031
2020-02-04,26.305320739746094,51.7266960144043,20.260576248168945,26.996965408325195,74.60485076904297,46.95588302612305,53.53443145751953,32.000125885009766,28.02056121826172,91.6038589477539,60.79244613647461
2020-02-05,26.792945861816406,51.8111572265625,21.02231788635254,27.537614822387695,75.85113525390625,47.23065185546875,53.9640007019043,31.975996017456055,28.135089874267578,93.3675308227539,61.09992980957031
2020-02-06,26.779767990112305,52.45867919921875,20.807954788208008,27.502161026000977,76.09496307373047,47.66175079345703,54.056644439697266,32.112754821777344,28.143264770507812,93.44850158691406,60.96274948120117
2020-02-07,26.39756965637207,52.42113494873047,20.66250228881836,27.4046630859375,75.5440902709961,47.22592544555664,54.124019622802734,32.12883758544922,28.05328941345215,92.71966552734375,60.697845458984375
2020-02-10,26.384395599365234,52.73080825805664,20.559152603149414,27.48443603515625,75.96854400634766,47.86545181274414,54.35143280029297,32.49888610839844,28.159626007080078,93.21456146240234,61.383758544921875
2020-02-11,26.529359817504883,52.67451858520508,20.788818359375,27.581933975219727,76.2575454711914,47.704383850097656,54.149295806884766,32.89304733276367,28.261882781982422,93.77247619628906,61.866294860839844
2020-02-12,26.674335479736328,53.359580993652344,21.068246841430664,27.599655151367188,76.97099304199219,48.22075271606445,54.124019622802734,33.102195739746094,28.282329559326172,93.88941955566406,62.50018310546875
