Date,SPY
2020-04-23,255.8826904296875
2020-04-24,259.44927978515625
2020-04-27,263.19024658203125
2020-04-28,261.9798583984375
2020-04-29,268.8381652832031
2020-04-30,266.3351135253906
2020-05-01,259.2843017578125
2020-05-04,259.99951171875
2020-05-05,262.4017333984375
2020-05-06,260.6229248046875
2020-05-07,263.7679748535156
2020-05-08,268.1322021484375
2020-05-11,268.18719482421875
2020-05-12,262.84185791015625
2020-05-13,258.1932067871094
2020-05-14,261.2831726074219
2020-05-15,262.4841613769531
2020-05-18,270.4794006347656
2020-05-19,267.7012634277344
2020-05-20,272.24896240234375
2020-05-21,270.369384765625
2020-05-22,270.8828430175781
2020-05-26,274.2203063964844
2020-05-27,278.3004150390625
2020-05-28,277.786865234375
2020-05-29,279.0246887207031
2020-06-01,280.15252685546875
2020-06-02,282.4721984863281
2020-06-03,286.23138427734375
2020-06-04,285.4795227050781
2020-06-05,292.79620361328125
2020-06-08,296.33538818359375
2020-06-09,294.1257019042969
2020-06-10,292.4845275878906
2020-06-11,275.6230773925781
2020-06-12,278.9239196777344
2020-06-15,281.52783203125
2020-06-16,286.94659423828125
2020-06-17,285.75469970703125
2020-06-18,285.86456298828125
2020-06-19,284.23101806640625
2020-06-22,286.0544128417969
2020-06-23,287.3712158203125
2020-06-24,280.0407409667969
2020-06-25,283.04302978515625
2020-06-26,276.3202819824219
2020-06-29,280.3814697265625
2020-06-30,283.9731140136719
2020-07-01,285.9622802734375
2020-07-02,287.53704833984375
2020-07-06,291.97576904296875
2020-07-07,288.96441650390625
2020-07-08,291.1746826171875
2020-07-09,289.5169982910156
2020-07-10,292.4731750488281
2020-07-13,289.94061279296875
2020-07-14,293.6978759765625
2020-07-15,296.3962097167969
2020-07-16,295.4200439453125
2020-07-17,296.2764587402344
2020-07-20,298.67083740234375
2020-07-21,299.3062744140625
2020-07-22,301.0099792480469
2020-07-23,297.41839599609375
2020-07-24,295.5028991699219
2020-07-27,297.6579284667969
2020-07-28,295.77001953125
2020-07-29,299.4075622558594
2020-07-30,298.3393249511719
2020-07-31,300.6968994140625
2020-08-03,302.7873840332031
2020-08-04,303.9569396972656
2020-08-05,305.8447570800781
2020-08-06,307.88916015625
2020-08-07,308.1102600097656
2020-08-10,309.0311584472656
2020-08-11,306.48016357421875
2020-08-12,310.7532958984375
2020-08-13,310.1914978027344
2020-08-14,310.2007751464844
2020-08-17,311.1861572265625
2020-08-18,311.8584289550781
2020-08-19,310.55987548828125
2020-08-20,311.5268249511719
2020-08-21,312.6319580078125
2020-08-24,315.7998352050781
2020-08-25,316.90496826171875
2020-08-26,320.0821838378906
2020-08-27,320.78204345703125
2020-08-28,322.8541259765625
2020-08-31,321.6844482421875
2020-09-01,324.7143249511719
2020-09-02,329.4110107421875
2020-09-03,318.07452392578125
2020-09-04,315.4775695800781
2020-09-08,306.8577880859375
2020-09-09,312.9173583984375
2020-09-10,307.4840393066406
2020-09-11,307.640625
2020-09-14,311.692626953125
2020-09-15,313.2673645019531
2020-09-16,312.0241394042969
2020-09-17,309.2797546386719
2020-09-18,305.71917724609375
2020-09-21,302.3167419433594
2020-09-22,305.3955078125
2020-09-23,298.31317138671875
2020-09-24,299.1082763671875
2020-09-25,303.94390869140625
2020-09-28,308.9922790527344
2020-09-29,307.3094787597656
2020-09-30,309.6394958496094
2020-10-01,311.6273193359375
2020-10-02,308.66864013671875
2020-10-05,314.1423034667969
2020-10-06,309.676513671875
2020-10-07,315.0669250488281
2020-10-08,317.85919189453125
2020-10-09,320.6977233886719
2020-10-12,325.8569030761719
2020-10-13,323.7303161621094
2020-10-14,321.69622802734375
2020-10-15,321.2987976074219
2020-10-16,321.10455322265625
2020-10-19,316.2225646972656
2020-10-20,317.4893493652344
2020-10-21,316.8883972167969
2020-10-22,318.62652587890625
2020-10-23,319.7083435058594
2020-10-26,313.8001403808594
2020-10-27,312.7183532714844
2020-10-28,302.02996826171875
2020-10-29,305.0997009277344
2020-10-30,301.91900634765625
2020-11-02,305.3030090332031
2020-11-03,310.6934509277344
2020-11-04,317.6372985839844
2020-11-05,323.8320617675781
2020-11-06,323.7581481933594
2020-11-09,327.8263244628906
2020-11-10,327.3455810546875
2020-11-11,329.77728271484375
2020-11-12,326.5781555175781
2020-11-13,331.0993957519531
2020-11-16,335.232421875
2020-11-17,333.4294128417969
2020-11-18,329.4165954589844
2020-11-19,330.8035888671875
2020-11-20,328.5382995605469
2020-11-23,330.5076904296875
2020-11-24,335.83343505859375
2020-11-25,335.3156433105469
2020-11-27,336.24951171875
2020-11-30,334.7608642578125
2020-12-01,338.4222412109375
2020-12-02,339.1343078613281
2020-12-03,339.04180908203125
2020-12-04,341.963623046875
2020-12-07,341.2608642578125
2020-12-08,342.25933837890625
2020-12-09,339.1896667480469
2020-12-10,339.0787353515625
2020-12-11,338.6811218261719
2020-12-14,337.1648254394531
2020-12-15,341.7231140136719
2020-12-16,342.25933837890625
2020-12-17,344.1733093261719
2020-12-18,342.7990417480469
2020-12-21,341.57342529296875
2020-12-22,340.9977111816406
2020-12-23,341.30413818359375
2020-12-24,342.6319580078125
2020-12-28,345.575439453125
2020-12-29,344.9162292480469
2020-12-30,345.4082946777344
2020-12-31,347.1632080078125
2021-01-04,342.4369201660156
2021-01-05,344.79541015625
2021-01-06,346.8568115234375
2021-01-07,352.0102233886719
2021-01-08,354.01593017578125
2021-01-11,351.62957763671875
2021-01-12,351.70379638671875
2021-01-13,352.6509094238281
2021-01-14,351.4158630371094
2021-01-15,348.8531188964844
2021-01-19,351.5923767089844
2021-01-20,356.4579162597656
2021-01-21,356.7829284667969
2021-01-22,355.5201110839844
2021-01-25,356.9222106933594
2021-01-26,356.364990234375
2021-01-27,347.6553955078125
2021-01-28,350.64532470703125
2021-01-29,343.6255187988281
2021-02-01,349.3453063964844
2021-02-02,354.2851257324219
2021-02-03,354.5636901855469
2021-02-04,358.593505859375
2021-02-05,360.0048828125
2021-02-08,362.6048583984375
2021-02-09,362.3633728027344
2021-02-10,362.2054748535156
2021-02-11,362.7905578613281
2021-02-12,364.5826721191406
2021-02-16,364.26690673828125
2021-02-17,364.35052490234375
2021-02-18,362.7998352050781
2021-02-19,362.15911865234375
2021-02-22,359.3734436035156
2021-02-23,359.8099365234375
2021-02-24,363.7748107910156
2021-02-25,355.0093688964844
2021-02-26,353.18011474609375
2021-03-01,361.74127197265625
2021-03-02,358.9185791015625
2021-03-03,354.1644287109375
2021-03-04,349.7817077636719
2021-03-05,356.2165222167969
2021-03-08,354.4429626464844
2021-03-09,359.5035705566406
2021-03-10,361.74127197265625
2021-03-11,365.4090881347656
2021-03-12,365.9011535644531
2021-03-15,368.083251953125
2021-03-16,367.6189270019531
2021-03-17,368.8725280761719
2021-03-18,363.50555419921875
2021-03-19,362.8328857421875
2021-03-22,365.73016357421875
2021-03-23,362.85150146484375
2021-03-24,361.007080078125
2021-03-25,363.0378723144531
2021-03-26,368.8883056640625
2021-03-29,368.7019958496094
2021-03-30,367.7237854003906
2021-03-31,369.2142639160156
2021-04-01,373.2014465332031
2021-04-05,378.55804443359375
2021-04-06,378.33447265625
2021-04-07,378.7723083496094
2021-04-08,380.5702209472656
2021-04-09,383.3370361328125
2021-04-12,383.4768371582031
2021-04-13,384.6133728027344
2021-04-14,383.2998046875
2021-04-15,387.4173889160156
2021-04-16,388.71234130859375
2021-04-19,386.8025817871094
2021-04-20,383.9705810546875
2021-04-21,387.603759765625
2021-04-22,384.0636901855469
2021-04-23,388.2278747558594
2021-04-26,389.0383605957031
2021-04-27,388.95452880859375
2021-04-28,388.8427429199219
2021-04-29,391.32073974609375
2021-04-30,388.74957275390625
2021-05-03,389.5879821777344
2021-05-04,387.1844482421875
2021-05-05,387.3056335449219
2021-05-06,390.39849853515625
2021-05-07,393.2398376464844
2021-05-10,389.3457336425781
2021-05-11,385.8710021972656
2021-05-12,377.6730651855469
2021-05-13,382.2098388671875
2021-05-14,388.0788269042969
2021-05-17,387.09130859375
2021-05-18,383.7562561035156
2021-05-19,382.7501525878906
2021-05-20,386.86773681640625
2021-05-21,386.55108642578125
2021-05-24,390.49169921875
2021-05-25,389.6252746582031
2021-05-26,390.39849853515625
2021-05-27,390.6034851074219
2021-05-28,391.3020935058594
2021-06-01,390.9574279785156
2021-06-02,391.57232666015625
2021-06-03,390.11895751953125
2021-06-04,393.68695068359375
2021-06-07,393.3050231933594
2021-06-08,393.38885498046875
2021-06-09,392.8019104003906
2021-06-10,394.6278381347656
2021-06-11,395.2798767089844
2021-06-14,396.16497802734375
2021-06-15,395.4383239746094
2021-06-16,393.23052978515625
2021-06-17,393.10003662109375
2021-06-18,387.7970275878906
2021-06-21,393.3486328125
2021-06-22,395.4516296386719
2021-06-23,394.9749450683594
2021-06-24,397.3115539550781
2021-06-25,398.7228088378906
2021-06-28,399.52655029296875
2021-06-29,399.7415466308594
2021-06-30,400.0780029296875
2021-07-01,402.2931213378906
2021-07-02,405.36798095703125
2021-07-06,404.6296691894531
2021-07-07,406.0596618652344
2021-07-08,402.7510986328125
2021-07-09,407.0504150390625
2021-07-12,408.50836181640625
2021-07-13,407.1158142089844
2021-07-14,407.7232971191406
2021-07-15,406.33074951171875
2021-07-16,403.1436767578125
2021-07-19,397.1901550292969
2021-07-20,402.88189697265625
2021-07-21,406.1437683105469
2021-07-22,406.99432373046875
2021-07-23,411.1814270019531
2021-07-26,412.19085693359375
2021-07-27,410.31219482421875
2021-07-28,410.1440124511719
2021-07-29,411.844970703125
2021-07-30,409.8448791503906
2021-08-02,408.9850769042969
2021-08-03,412.31231689453125
2021-08-04,410.2841491699219
2021-08-05,412.8824768066406
2021-08-06,413.564697265625
2021-08-09,413.2283020019531
2021-08-10,413.74237060546875
2021-08-11,414.77044677734375
2021-08-12,416.0135192871094
2021-08-13,416.7705383300781
2021-08-16,417.7518615722656
2021-08-17,415.013427734375
2021-08-18,410.47113037109375
2021-08-19,411.10662841796875
2021-08-20,414.37786865234375
2021-08-23,418.02288818359375
2021-08-24,418.6865234375
2021-08-25,419.5650329589844
2021-08-26,417.0882873535156
2021-08-27,420.8174743652344
2021-08-30,422.6680603027344
2021-08-31,422.0418701171875
2021-09-01,422.26617431640625
2021-09-02,423.5652770996094
2021-09-03,423.4624328613281
2021-09-07,421.9483337402344
2021-09-08,421.434326171875
2021-09-09,419.63043212890625
2021-09-10,416.3219299316406
2021-09-13,417.38739013671875
2021-09-14,415.1349792480469
2021-09-15,418.6024169921875
2021-09-16,417.9388732910156
2021-09-17,413.8677062988281
2021-09-20,406.966796875
2021-09-21,406.58233642578125
2021-09-22,410.5484313964844
2021-09-23,415.5366516113281
2021-09-24,416.22113037109375
2021-09-27,415.03033447265625
2021-09-28,406.6666564941406
2021-09-29,407.3512268066406
2021-09-30,402.37237548828125
2021-10-01,407.15423583984375
