Modelo,Accuracy,Balanced Accuracy,Macro F1
Random Forest,0.5454545454545454,0.5375,0.5416666666666666
Logistic Regression,0.5454545454545454,0.5208333333333334,0.5393170426065163
Gradient Boosting,0.5454545454545454,0.5375,0.5055555555555555
Baseline Persistencia,0.13636363636363635,0.09166666666666667,0.09166666666666667
Baseline Mayoritaria,0.09090909090909091,0.05,0.05555555555555555
