,precision,recall,f1-score,support
Expansión,0.6666666666666666,0.4,0.5,10.0
Desaceleración,0.6666666666666666,1.0,0.8,6.0
Contracción,0.16666666666666666,0.25,0.2,4.0
Recuperación,1.0,0.5,0.6666666666666666,2.0
accuracy,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454
macro avg,0.625,0.5375,0.5416666666666666,22.0
weighted avg,0.606060606060606,0.5454545454545454,0.5424242424242425,22.0
