,Random Forest,Gradient Boosting
Revenue_YoY,0.28569751563392787,0.30227519740433867
Revenue_QoQ,0.18931296586989727,0.12369297409318823
Revenue_Momentum,0.08513335366193828,0.10699101046376774
Net_Margin,0.07536317267006779,0.04194736602251802
Net_Margin_YoY_Change,0.10828815954983274,0.13517847208556516
Revenue_vs_MA4,0.2562048326143361,0.28991497993062226
